dt,location
2026-06-11T16:00, Oettingenstr. 67 Raum 115
2026-06-25T16:30, UniBw, Carl-Wery-Strasse 18 CASCADA Raum 0812 (EG rechts)
2026-07-02T16:00, Oettingenstr. 67 Raum 115
2026-08-20T16:00, tbd (vorlesungsfreie Zeit)
2026-09-29T16:00, tbd (vorlesungsfreie Zeit)
2026-10-22T16:00, Oettingenstr. 67 Raum 057
